id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA2850,PO230790,12,1,,1,3,True,PA267360,2002-06-19,2007-06-19
PA707,PO230912,12,1,,1,3,True,PA267601,2002-06-19,2007-06-19
PA707,PO384744,13,1,,1,3,True,PA267601,2007-06-20,2012-06-19
PA267706,PO644583,14,1,,1,3,True,PA642777,2012-06-20,2017-06-20
PA793464,PO792812,16,1,,1,0,True,PA793468,2022-06-19,
PA335054,PO718202,15,1,,1,3,True,PA721380,2017-06-18,2022-06-21
PA335054,PO644804,14,1,,1,3,True,PA345049,2012-06-20,2017-06-20
PA335054,PO384650,13,1,,1,3,True,PA345049,2007-06-20,2012-06-19
PA335054,PO792302,16,1,,1,0,True,PA795096,2022-06-19,
PA642759,PO644556,14,1,,20,3,True,PA606299,2014-06-01,2017-06-20
PA720862,PO718450,15,1,,1,3,True,PA720866,2017-06-18,2022-06-21
PA720862,PO792566,16,1,,1,0,True,PA795306,2022-06-19,
PA335040,PO384649,13,1,,1,3,True,PA345035,2007-06-20,2012-06-19
PA795820,PO792698,16,1,,1,0,True,PA795824,2022-06-19,
PA722126,PO718320,15,1,,1,3,True,PA722130,2017-06-18,2022-06-21
PA1236,PO384504,13,1,,1,11,True,PA343191,2007-06-20,2008-09-16
PA642836,PO644656,14,1,,4,6,True,,2012-06-20,2017-06-15
PA840,PO644805,14,1,,1,3,True,PA643102,2012-06-20,2017-06-20
PA698,PO230630,12,1,,1,3,True,PA267484,2002-06-19,2007-06-19
PA795808,PO792544,16,1,,1,0,True,PA795812,2022-06-19,
PA1587,PO230538,12,1,,1,3,True,PA615,2002-06-19,2007-06-19
PA667,PO644596,14,1,,1,3,True,PA642787,2012-06-20,2017-06-20
PA667,PO384442,13,1,,1,3,True,PA267462,2007-06-20,2012-06-19
PA667,PO230610,12,1,,1,3,True,PA267462,2002-06-19,2007-06-19
PA608718,PO644803,14,1,,1,3,True,PA642942,2012-06-20,2017-06-20
PA267114,PO230554,12,1,,1,3,True,PA267115,2002-06-19,2007-06-19
